(34, 1696846242001, 9, 10, 2023, 0, Decimal('26196.39'), Decimal('26196.39'), Decimal('26196.39'), Decimal('26196.39'), Decimal('26196.390000000000'), 0, Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), 0, Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), Decimal('0.0'), 0, Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), Decimal('0.0'), Decimal('0.0'), 0, Decimal('0.0'))
(35, 1696846243001, 9, 10, 2023, 0, Decimal('26196.39'), Decimal('26196.39'), Decimal('26196.39'), Decimal('26196.39'), Decimal('26196.390000000000'), 0, Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), 0, Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), Decimal('0.0'), 0, Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), Decimal('0.0'), Decimal('0.0'), 0, Decimal('0.0'))
(36, 1696846244002, 9, 10, 2023, 0, Decimal('26196.39'), Decimal('26196.39'), Decimal('26196.39'), Decimal('26196.39'), Decimal('26196.390000000000'), 0, Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), 0, Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), Decimal('0.0'), 0, Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), Decimal('0.0'), Decimal('0.0'), 0, Decimal('0.0'))
(37, 1696846245001, 9, 10, 2023, 0, Decimal('26196.39'), Decimal('26196.39'), Decimal('26196.39'), Decimal('26196.39'), Decimal('26196.390000000000'), 0, Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), 0, Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), Decimal('0.0'), 0, Decimal('0.0'), Decimal('27566.08'), Decimal('27566.08'), Decimal('27566.08'), Decimal('27566.08'), Decimal('27566.080000000000'), 0, Decimal('0.0'))
(38, 1696846246002, 9, 10, 2023, 0, Decimal('26196.39'), Decimal('26196.39'), Decimal('26196.39'), Decimal('26196.39'), Decimal('26196.390000000000'), 0, Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), 0, Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), Decimal('0.0'), 0, Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), Decimal('0.0'), Decimal('0.0'), 0, Decimal('0.0'))
(39, 1696846247002, 9, 10, 2023, 0, Decimal('26196.39'), Decimal('26196.39'), Decimal('26196.39'), Decimal('26196.39'), Decimal('26196.390000000000'), 0, Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), 0, Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), Decimal('0.0'), 0, Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), Decimal('0.0'), Decimal('0.0'), 0, Decimal('0.0'))
(42, 1696846250001, 9, 10, 2023, 0, Decimal('26196.39'), Decimal('26196.39'), Decimal('26196.39'), Decimal('26196.39'), Decimal('26196.390000000000'), 0, Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), 0, Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), Decimal('0.0'), 0, Decimal('0.0'), Decimal('27566.08'), Decimal('27566.08'), Decimal('27566.08'), Decimal('27566.08'), Decimal('27566.080000000000'), 0, Decimal('0.0'))
(41, 1696846249002, 9, 10, 2023, 0, Decimal('26196.39'), Decimal('26196.39'), Decimal('26196.39'), Decimal('26196.39'), Decimal('26196.390000000000'), 0, Decimal('0.0'), Decimal('27569.66'), Decimal('27569.66'), Decimal('27569.66'), Decimal('27569.66'), Decimal('27569.660000000000'), 0, Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), Decimal('0.0'), 0, Decimal('0.0'), Decimal('27566.08'), Decimal('27566.08'), Decimal('27566.08'), Decimal('27566.08'), Decimal('27566.080000000000'), 0, Decimal('0.0'))
(40, 1696846248001, 9, 10, 2023, 0, Decimal('26196.39'), Decimal('26196.39'), Decimal('26196.39'), Decimal('26196.39'), Decimal('26196.390000000000'), 0, Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), 0, Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), Decimal('0.0'), 0, Decimal('0.0'), Decimal('27566.08'), Decimal('27566.08'), Decimal('27566.08'), Decimal('27566.08'), Decimal('27566.080000000000'), 0, Decimal('0.0'))
(44, 1696846252001, 9, 10, 2023, 0, Decimal('26188.62'), Decimal('26188.62'), Decimal('26188.62'), Decimal('26188.62'), Decimal('26188.620000000000'), 1, Decimal('0.00158'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), 0, Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), Decimal('0.0'), 0, Decimal('0.0'), Decimal('27562.04'), Decimal('27562.04'), Decimal('27562.04'), Decimal('27562.04'), Decimal('27562.040000000000'), 1, Decimal('0.00079'))
(46, 1696846254001, 9, 10, 2023, 0, Decimal('26188.62'), Decimal('26188.62'), Decimal('26188.62'), Decimal('26188.62'), Decimal('26188.620000000000'), 0, Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), 0, Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), Decimal('0.0'), 0, Decimal('0.0'), Decimal('27562.04'), Decimal('27562.04'), Decimal('27562.04'), Decimal('27562.04'), Decimal('27562.040000000000'), 0, Decimal('0.0'))
